Layer-Head ID,pre,Layer-Head ID,recall,Layer-Head ID,inf
15-25,0.005219206681,25-17,0.2239513858,19-20,0.01016260163
16-22,0.00516661941,18-22,0.2232057789,31-10,0.01007755787
31-10,0.005079820263,18-14,0.2223541007,15-25,0.01007049345
18-11,0.005045546283,21-2,0.2158180275,31-6,0.009746794065
31-20,0.004991319457,1-14,0.2044010092,18-11,0.009682315382
31-6,0.004925033064,13-16,0.1990243915,31-20,0.009633994092
7-9,0.004818876703,14-28,0.1983727304,7-9,0.009365628604
28-26,0.004710729518,1-12,0.1975578344,28-26,0.009351037655
16-5,0.004677161761,14-21,0.1887241689,10-0,0.009048570729
31-29,0.004622414946,31-29,0.1824426329,16-5,0.009041790716
10-0,0.004588918932,14-0,0.1812337906,31-29,0.009012968148
29-22,0.004455743262,13-2,0.170855062,31-26,0.008719874609
31-26,0.004400479127,5-30,0.1659663866,29-22,0.008616132784
31-16,0.004142793573,7-9,0.1658496732,26-9,0.008194391182
26-9,0.004136581683,9-31,0.1635802469,31-16,0.008163053262
24-13,0.00411840388,16-28,0.1632653061,24-13,0.008132413332
30-19,0.004002797402,12-3,0.1624825662,30-19,0.007881865218
31-9,0.003963824469,9-24,0.1624113475,31-9,0.007866019842
25-22,0.003854803295,30-20,0.1616161616,25-22,0.007658024398
11-16,0.003789708433,19-20,0.1604278075,11-16,0.007520287702
9-31,0.003770095319,31-14,0.1604166667,9-31,0.007370324016
16-28,0.003578350977,11-10,0.1600877193,16-28,0.007003209804
11-10,0.003440312927,12-2,0.1588319088,11-10,0.006735870819
15-9,0.00340440336,16-6,0.155,15-9,0.006632776567
22-19,0.003286456741,1-4,0.1467065868,22-19,0.006427503737
26-17,0.003194274649,22-19,0.1452702703,26-17,0.006344826555
16-4,0.003102131721,15-21,0.1441724235,1-2,0.006106468127
1-2,0.003069224435,15-25,0.1428571429,31-24,0.006080227865
31-24,0.003060817956,31-20,0.1379695356,16-4,0.00604557433
29-16,0.003022095152,1-1,0.1373015873,30-23,0.005892899808
30-23,0.002976182481,16-5,0.1353135314,29-16,0.005883932713
31-21,0.002624671916,29-22,0.129984051,31-21,0.004993359894
27-28,0.002392848246,15-9,0.1282771536,27-28,0.004736402386
31-25,0.002355053342,1-17,0.1262626263,31-25,0.004676169353
16-6,0.002171172433,1-25,0.1228710462,16-6,0.004282359442
14-8,0.002037845985,14-5,0.1213110942,14-8,0.0040506648
30-6,0.001875881186,18-11,0.1195090439,30-6,0.003674835569
0-2,0.001828913884,16-4,0.1181818182,0-2,0.003644580567
9-11,0.001709830736,29-16,0.1109576427,9-11,0.003409381716
1-9,0.001577996135,13-11,0.09482758621,1-9,0.003139973189
14-26,0.001518465094,15-10,0.09431137725,14-26,0.003028423685
29-31,0.00140390285,17-6,0.09219858156,1-12,0.002775604509
13-8,0.001397959619,13-1,0.09219204114,29-31,0.002737850787
1-12,0.001397737633,30-6,0.08961187215,13-8,0.002737035644
1-23,0.0007744589323,13-3,0.085,1-23,0.001544066588
1-7,0.0007234689529,14-24,0.07785888078,1-7,0.001443349411
1-14,0.0005902890865,13-10,0.075,1-14,0.001177062147
1-22,0.0003929702406,14-13,0.06823266219,1-22,0.0007845929494
1-27,7.84E-05,13-8,0.06498015873,1-27,0.00015663978
1-25,6.46E-05,23-25,0.06018518519,1-25,0.00012921905
31-14,4.91E-05,14-1,0.05738522954,31-14,9.82E-05
1-26,2.21E-05,29-31,0.05494505495,1-26,4.42E-05
1-1,1.38E-05,31-21,0.05119825708,1-1,2.76E-05
1-17,5.95E-06,15-26,0.04783258595,1-17,1.19E-05
1-4,5.85E-06,17-31,0.04504504505,1-4,1.17E-05
1-16,0,1-16,0,1-16,0
1-3,0,1-3,0,1-3,0
14-7,0,14-7,0,14-7,0
1-18,0,1-18,0,1-18,0
1-21,0,1-21,0,1-21,0
17-28,0,17-28,0,17-28,0
15-5,0,15-5,0,15-5,0
12-26,0,12-26,0,12-26,0
10-18,0,10-18,0,10-18,0
31-7,0,31-7,0,31-7,0
31-12,0,31-12,0,31-12,0
31-15,0,31-15,0,31-15,0
13-15,0,13-15,0,13-15,0
31-28,0,31-28,0,31-28,0
11-18,0,11-18,0,11-18,0
12-0,0,12-0,0,12-0,0
1-31,0,1-31,0,1-31,0
1-29,0,1-29,0,1-29,0
12-11,0,12-11,0,12-11,0
13-7,0,13-7,0,13-7,0
1-19,0,1-19,0,1-19,0
12-27,0,12-27,0,12-27,0
14-9,0,14-9,0,14-9,0
12-8,0,12-8,0,12-8,0
11-26,0,11-26,0,11-26,0
13-22,0,13-22,0,13-22,0
0-9,0,0-9,0,0-9,0
16-27,0,16-27,0,16-27,0
10-19,0,10-19,0,10-19,0
9-3,0,9-3,0,9-3,0
15-6,0,15-6,0,15-6,0
8-0,0,8-0,0,8-0,0
11-0,0,11-0,0,11-0,0
21-11,0,21-11,0,21-11,0
28-0,0,28-0,0,28-0,0
13-14,0,13-14,0,13-14,0
12-23,0,12-23,0,12-23,0
13-9,0,13-9,0,13-9,0
1-10,0,1-10,0,1-10,0
1-15,0,1-15,0,1-15,0
29-28,0,29-28,0,29-28,0
14-12,0,14-12,0,14-12,0
15-8,0,15-8,0,15-8,0
1-30,0,1-30,0,1-30,0
10-1,0,10-1,0,10-1,0
9-8,0,9-8,0,9-8,0
12-15,0,12-15,0,12-15,0
12-28,0,12-28,0,12-28,0
8-18,0,8-18,0,8-18,0
15-0,0,15-0,0,15-0,0
16-3,0,16-3,0,16-3,0
13-28,0,13-28,0,13-28,0
9-0,0,9-0,0,9-0,0
28-18,0,28-18,0,28-18,0
0-11,0,0-11,0,0-11,0
18-24,0,18-24,0,18-24,0
1-6,0,1-6,0,1-6,0
31-31,0,31-31,0,31-31,0
0-26,0,0-26,0,0-26,0
5-31,0,5-31,0,5-31,0
1-8,0,1-8,0,1-8,0
5-4,0,5-4,0,5-4,0
8-20,0,8-20,0,8-20,0
9-1,0,9-1,0,9-1,0
5-17,0,5-17,0,5-17,0
0-0,0,0-0,0,0-0,0
11-17,0,11-17,0,11-17,0
0-1,0,0-1,0,0-1,0
16-18,0,16-18,0,16-18,0
26-19,0,26-19,0,26-19,0
1-28,0,1-28,0,1-28,0
17-14,0,17-14,0,17-14,0
1-20,0,1-20,0,1-20,0
0-25,0,0-25,0,0-25,0
14-3,0,14-3,0,14-3,0
15-7,0,15-7,0,15-7,0
9-18,0,9-18,0,9-18,0
16-16,0,16-16,0,16-16,0
10-9,0,10-9,0,10-9,0
12-24,0,12-24,0,12-24,0
12-21,0,12-21,0,12-21,0
13-0,0,13-0,0,13-0,0
14-14,0,14-14,0,14-14,0
9-29,0,9-29,0,9-29,0
0-23,0,0-23,0,0-23,0
16-24,0,16-24,0,16-24,0
14-2,0,14-2,0,14-2,0
13-13,0,13-13,0,13-13,0
0-24,0,0-24,0,0-24,0
7-11,0,7-11,0,7-11,0
7-10,0,7-10,0,7-10,0
13-23,0,13-23,0,13-23,0
10-20,0,10-20,0,10-20,0
12-9,0,12-9,0,12-9,0
14-23,0,14-23,0,14-23,0
1-13,0,1-13,0,1-13,0
10-16,0,10-16,0,10-16,0
15-23,0,15-23,0,15-23,0
11-24,0,11-24,0,11-24,0
30-18,0,30-18,0,30-18,0
12-16,0,12-16,0,12-16,0
12-25,0,12-25,0,12-25,0
1-5,0,1-5,0,1-5,0
9-2,0,9-2,0,9-2,0
12-31,0,12-31,0,12-31,0
0-7,0,0-7,0,0-7,0
1-0,0,1-0,0,1-0,0
11-19,0,11-19,0,11-19,0
25-18,0,25-18,0,25-18,0
9-10,0,9-10,0,9-10,0
1-11,0,1-11,0,1-11,0
11-9,0,11-9,0,11-9,0
0-6,0,0-6,0,0-6,0
15-4,0,15-4,0,15-4,0
13-29,0,13-29,0,13-29,0
11-11,0,11-11,0,11-11,0
1-24,0,1-24,0,1-24,0
10-24,0,10-24,0,10-24,0
0-10,0,0-10,0,0-10,0
17-13,0,17-13,0,17-13,0
9-9,0,9-9,0,9-9,0
