Layer-Head ID,pre,Layer-Head ID,recall,Layer-Head ID,inf
21-25,0.08505993691,3-23,0.9740202808,18-8,0.1450817792
4-20,0.08319820553,3-25,0.9733753476,5-20,0.144743101
27-23,0.08263170832,24-11,0.973364716,4-11,0.1441210289
28-15,0.0818605978,25-30,0.9731050758,4-6,0.1440314039
4-16,0.08176136266,3-29,0.9726476618,27-23,0.1439542162
4-23,0.0817119376,4-20,0.9725311104,13-6,0.143726064
4-3,0.08142939041,7-25,0.9724789696,5-7,0.1435794026
4-8,0.07926502084,2-15,0.9721746792,17-25,0.1425071141
28-14,0.07914835018,9-20,0.9720924135,28-15,0.1424974449
5-7,0.0791013314,4-28,0.9720397407,7-22,0.1420030607
24-23,0.07895349885,6-24,0.9710984926,21-25,0.1417496458
5-20,0.0787779883,9-30,0.9708722609,25-4,0.141228076
27-7,0.07850380854,3-21,0.970757308,4-30,0.1406444627
4-6,0.07849598807,0-3,0.9705981504,28-14,0.1402726338
25-4,0.07844832614,4-21,0.9702786111,13-17,0.1393957496
4-11,0.07813273213,20-7,0.9691239831,24-23,0.1374048694
18-9,0.07799267935,25-9,0.9676481953,20-26,0.1358862094
7-22,0.07763855145,22-26,0.9673521524,28-12,0.1356136298
22-12,0.07726211096,4-3,0.9672325754,22-12,0.135494244
4-30,0.07600251328,4-1,0.9669390053,9-7,0.1346337175
28-12,0.07529167074,2-19,0.9668061588,23-13,0.1337128748
23-13,0.07496574454,27-1,0.9667244782,24-24,0.1296021178
24-24,0.07485275844,0-15,0.9661220638,18-9,0.1295867752
9-7,0.07338106696,8-3,0.9650721093,27-7,0.1295645168
30-0,0.07290358041,4-23,0.9638449897,30-0,0.1291384002
20-15,0.07253918987,3-3,0.9634092581,30-28,0.1282428408
30-28,0.07246293518,5-23,0.963018938,20-15,0.127917526
30-24,0.07163755939,4-8,0.9629628806,6-2,0.1273530431
27-21,0.07100964337,18-3,0.9629070037,5-23,0.1270941071
27-20,0.07088020998,28-6,0.9622385214,21-27,0.1268910072
21-27,0.07069565882,24-12,0.961151076,5-24,0.1267698624
30-3,0.07009744932,0-20,0.9603004675,27-20,0.1258909031
27-5,0.06961795418,20-5,0.9600934214,30-3,0.1257460461
6-2,0.06879447038,23-2,0.9598849159,4-7,0.1252796127
5-23,0.06870042422,8-27,0.9595464355,30-24,0.1252131825
14-22,0.06867820264,6-21,0.958618453,4-31,0.1237408583
5-24,0.06837728762,0-13,0.9585816593,27-21,0.1224062829
4-7,0.06813937483,19-22,0.9571991032,4-26,0.1216309154
4-31,0.0663452612,25-26,0.9567683902,4-22,0.1206335647
16-26,0.0656932352,9-17,0.9533165167,0-4,0.1202764342
4-26,0.06530931568,10-12,0.9521236237,27-5,0.1171908029
4-22,0.06502237131,27-25,0.9511870621,25-14,0.1156801325
13-30,0.06473582011,27-0,0.9511281048,4-5,0.1151124137
29-9,0.06464516283,7-6,0.9481171671,0-5,0.1140944203
0-4,0.06436983231,19-29,0.9477586144,4-9,0.1130774776
25-14,0.06356459418,0-30,0.9470207519,6-26,0.1123609349
18-28,0.06295857226,27-26,0.9458996869,30-31,0.1122161607
30-31,0.0627267716,8-11,0.9446380085,5-18,0.1116877087
22-29,0.06169002163,20-19,0.944285725,14-22,0.1104786565
0-5,0.06168177476,3-27,0.9434866427,29-9,0.1103163834
4-5,0.06165979539,5-21,0.9422240651,15-13,0.109662013
13-31,0.06150431746,19-5,0.9419787107,8-10,0.1093640863
18-16,0.06125711417,23-3,0.9417727686,26-20,0.1091017493
23-27,0.06108907569,18-1,0.9397856773,23-27,0.107664854
15-13,0.06052621431,9-25,0.9397568594,6-3,0.1076637869
4-9,0.06033626014,3-12,0.9395563336,18-16,0.1075217831
6-26,0.06024548552,22-21,0.9395479357,22-29,0.1073213848
13-5,0.0599324522,7-26,0.9391517024,30-29,0.1069582579
5-18,0.05987926698,7-7,0.939128834,27-4,0.1067649997
27-4,0.05966801244,7-3,0.9381612761,13-5,0.106579437
8-10,0.05907651453,4-2,0.9375523336,16-11,0.1060886342
16-11,0.0585901708,27-27,0.9373985099,9-4,0.1058870187
26-20,0.05852366237,9-7,0.9332219732,26-28,0.1053712691
30-29,0.0584068293,0-21,0.9312344465,18-28,0.1050866671
15-11,0.05827758282,9-21,0.9296681879,5-10,0.104878326
26-28,0.05813996909,29-15,0.9285597909,8-9,0.1047393383
6-3,0.05748252827,5-8,0.9269236048,13-31,0.1042913092
30-12,0.05721603252,5-10,0.9251246165,6-24,0.1042380182
9-4,0.05695107109,20-17,0.9243830106,13-30,0.1033759921
8-9,0.05634835766,23-23,0.9225722445,30-12,0.1030561266
5-10,0.05592126839,3-20,0.9221905195,4-4,0.1027262954
16-8,0.05577232242,5-9,0.9218957635,16-26,0.1023314649
6-24,0.05570630952,23-15,0.9200853121,6-6,0.1017318651
4-4,0.05542956637,22-22,0.9185104769,5-9,0.1008605166
28-3,0.05490061818,0-28,0.9163473306,15-17,0.1007724857
20-23,0.05449072407,19-10,0.9161993405,5-16,0.100664688
25-17,0.05432497035,11-21,0.9128487072,5-8,0.09932479036
6-6,0.05415967716,22-20,0.9118967104,23-21,0.09928883107
15-17,0.05405335848,29-17,0.9118881001,7-21,0.09916232265
17-27,0.05383980826,26-20,0.9118746307,4-18,0.0990991104
5-9,0.05383013018,22-23,0.9107787609,28-3,0.0989972393
28-25,0.05363339439,28-12,0.9104049985,7-6,0.09892090887
5-16,0.05356776571,10-7,0.9092352389,4-15,0.09857997451
23-21,0.05356421005,5-7,0.9032616808,28-25,0.0985294545
7-21,0.05352361392,22-25,0.9026717903,5-27,0.09810486267
5-8,0.05328763439,5-22,0.9024245178,9-6,0.09776722649
30-25,0.05313528776,15-28,0.9023890576,30-25,0.0960625868
5-27,0.05288646125,4-19,0.90222911,0-14,0.09597966698
9-6,0.05288499943,12-14,0.9019623308,8-27,0.09536963921
7-6,0.05286842648,20-18,0.9009090592,28-27,0.09534709906
4-18,0.05262443707,10-6,0.9001203427,11-12,0.09530942229
21-31,0.05249788039,24-17,0.8979232034,24-19,0.09525967043
4-15,0.05235841714,20-22,0.8970466811,23-12,0.09503237079
23-12,0.05212056607,7-22,0.8965983922,14-27,0.0948687375
22-0,0.05210730945,18-31,0.8952611608,6-1,0.09479467072
22-28,0.05203857191,10-5,0.8930156997,27-2,0.09469632252
28-27,0.05184601657,24-21,0.8907764765,7-7,0.09462460045
0-14,0.05167674328,20-4,0.8896286184,6-27,0.09442114039
11-12,0.05161905877,19-6,0.8882664983,5-25,0.09423258935
14-27,0.0515404494,30-5,0.8871268297,22-0,0.0939187129
24-19,0.05118911876,8-1,0.8870336404,21-31,0.09383577664
30-11,0.0508680726,11-28,0.8870313175,0-27,0.09370173164
20-12,0.05085783015,17-17,0.8869165366,6-21,0.09364363794
8-27,0.05079827976,9-4,0.8868041443,22-28,0.09354554836
0-27,0.05074216706,18-17,0.8853109217,11-29,0.09300177658
27-2,0.05051078602,11-20,0.8849342677,11-13,0.0929646709
7-7,0.05037895021,15-2,0.8834257225,30-11,0.09239229796
21-15,0.0503521926,29-18,0.8804962934,26-2,0.09166728878
6-1,0.05025679313,27-24,0.8802149408,5-12,0.09156757195
5-25,0.05020079551,27-18,0.8790858557,7-23,0.09139425342
6-27,0.0501378368,28-17,0.8763211918,7-3,0.09065727323
11-13,0.05008089339,0-22,0.8744426728,20-12,0.09053112895
11-29,0.04990393246,9-27,0.8734839644,12-14,0.09026195457
26-2,0.04972516913,18-5,0.8730639845,21-15,0.08932317195
29-23,0.04959051305,23-11,0.8697945017,11-28,0.08910390141
6-21,0.0494768157,8-10,0.8656416983,16-8,0.08889677133
7-23,0.04874844991,23-26,0.8618940084,4-17,0.08888002143
5-12,0.04856349643,30-28,0.8613127654,8-17,0.08868846506
12-14,0.04816973671,3-1,0.8609020175,15-18,0.0885607584
7-3,0.04810823149,8-9,0.860564602,15-11,0.088515962
15-18,0.04777628225,19-21,0.8520134347,28-17,0.08837215169
28-17,0.04773269087,19-25,0.8518941611,5-1,0.0882977526
19-3,0.04756204995,9-14,0.8487398683,29-23,0.08820008768
11-28,0.04749861922,28-2,0.8429707461,9-14,0.08817360596
8-17,0.04717807998,9-6,0.8426384372,5-2,0.08799790497
9-14,0.04717339468,19-24,0.8422046791,20-23,0.0877480179
4-17,0.04704717664,24-14,0.8358193743,17-27,0.08680753562
30-13,0.04697446151,25-20,0.8322580645,6-25,0.08648590923
29-21,0.04682384763,27-9,0.8318156419,11-22,0.08561507213
5-2,0.04660821848,29-25,0.8317646277,25-17,0.08547973595
5-1,0.04654303408,25-22,0.8310708899,29-21,0.08502635402
6-25,0.04586373251,3-22,0.8301670694,30-13,0.08501678495
11-22,0.04582241064,29-24,0.8301625922,6-20,0.08374804331
12-1,0.04525300924,16-29,0.8295335137,7-25,0.08338891613
22-13,0.04521157594,19-16,0.8289455261,26-31,0.0832953249
26-31,0.04500671578,25-28,0.8287634912,22-13,0.08277679878
25-6,0.04488475233,21-7,0.8286686983,12-1,0.08237809641
14-5,0.04487961159,6-9,0.8286378086,19-3,0.08180500727
13-20,0.04467492492,6-23,0.8284845219,20-13,0.0817516077
22-2,0.04429761618,29-27,0.8281664115,25-6,0.08158672861
30-26,0.04428746503,21-5,0.8278444535,24-21,0.08108610315
6-20,0.04421221246,28-5,0.8274647887,15-19,0.08059029288
20-13,0.04416592414,19-7,0.8271207075,13-20,0.08056435404
7-25,0.04393873908,29-26,0.8268848395,22-2,0.08011856216
20-20,0.04370546711,25-24,0.826625205,20-20,0.0799183244
28-21,0.04368368008,21-4,0.8259280121,23-24,0.07971339463
21-14,0.04364235832,28-7,0.8254373142,21-14,0.07930313839
14-25,0.0435066619,17-11,0.8213303079,11-20,0.07930032255
15-19,0.04330429867,5-0,0.8203904115,23-7,0.07923497852
24-21,0.04290419705,21-18,0.8203677759,30-26,0.07919351617
23-24,0.04283169524,8-17,0.8201045102,27-1,0.07913563561
23-7,0.04256672956,22-30,0.8182425152,28-21,0.07878146784
15-29,0.0422558284,31-10,0.8165948097,9-21,0.07870916769
27-1,0.04193087636,31-5,0.8143301242,9-27,0.07852179876
11-20,0.04187896539,6-22,0.8121657498,24-6,0.07843444241
29-20,0.04166857052,22-1,0.8114671985,9-17,0.07840967472
9-12,0.04166046189,10-4,0.8104508544,7-26,0.07826967968
9-21,0.04158382485,24-4,0.8088876888,9-12,0.07820962185
9-27,0.04157455385,11-13,0.8087619458,5-26,0.07808077604
24-6,0.04155139748,15-30,0.8073112938,19-11,0.07800266127
25-15,0.0414628881,20-24,0.8068165502,4-27,0.07735711724
30-27,0.04142437363,17-9,0.8059392147,15-29,0.07732836608
19-11,0.04142105414,27-19,0.8048964743,9-20,0.07731815367
5-5,0.04137688918,31-8,0.8039739883,7-16,0.07729875326
9-17,0.0412492361,23-21,0.803539895,25-15,0.07725890046
27-30,0.04119489479,24-5,0.8035226148,7-24,0.07716758946
7-26,0.04119227523,18-6,0.802181751,20-10,0.07714021571
20-10,0.04113555411,29-3,0.8019592598,5-5,0.0770854427
0-8,0.04099769468,28-26,0.8014698629,22-26,0.07690585335
5-26,0.04098234385,18-13,0.8014601491,5-22,0.07663798558
7-24,0.04081829741,28-14,0.8000544325,30-27,0.07654045113
7-16,0.04074717685,18-15,0.7996422052,27-30,0.07650503867
22-26,0.04074405313,23-4,0.7975522936,0-8,0.07591849508
14-4,0.04067865642,27-14,0.7967942669,22-25,0.0758131423
9-20,0.04063144417,25-27,0.796769391,11-5,0.07560020939
4-27,0.04057693856,7-23,0.79647053,25-19,0.07543861212
25-19,0.04055171381,17-16,0.7952860906,29-20,0.07526027114
22-25,0.04026902196,0-5,0.7952536363,9-30,0.07518196702
11-5,0.04026143318,23-22,0.7952304467,23-4,0.07434748316
5-22,0.04015347907,28-22,0.7942721303,15-15,0.074065853
15-15,0.04007524114,26-25,0.7925782543,20-11,0.0737980947
20-11,0.03968495134,29-12,0.7923702475,14-25,0.07366885
9-30,0.03959839595,24-16,0.791760611,4-24,0.07327230407
30-15,0.0395008427,21-9,0.7910100506,22-23,0.07326370747
23-4,0.03940006385,7-24,0.7899957029,14-4,0.07284756535
22-23,0.03897811595,25-5,0.7894889773,21-23,0.07252482696
18-30,0.03887315631,29-13,0.7890285715,10-28,0.07235655269
23-6,0.03879173708,18-21,0.7878476024,23-3,0.07209345581
28-11,0.03868169728,11-29,0.7877087736,30-15,0.07202501344
10-28,0.03866348341,15-1,0.7875758387,23-6,0.07199741771
22-9,0.03852481767,21-23,0.7873546943,6-28,0.07198665911
4-24,0.03832754159,19-9,0.7873507333,6-0,0.07183515607
21-23,0.03817433921,10-28,0.7865426523,18-30,0.07168902718
23-3,0.03786851828,26-12,0.7862813842,7-19,0.0715561101
6-28,0.03781911424,29-7,0.7855685503,22-9,0.07146365403
13-26,0.03780940864,10-14,0.7855568828,28-11,0.07096413705
6-0,0.03757149852,23-1,0.7843559007,4-13,0.07092166108
7-19,0.03752919649,25-19,0.7791041382,23-26,0.07074283134
23-26,0.03744949235,28-13,0.778362912,10-6,0.07066893931
26-22,0.03736975554,11-22,0.7782773347,13-26,0.07057002067
17-23,0.0373665713,19-17,0.7772449771,5-19,0.07019400387
21-8,0.03736531547,28-1,0.7764129894,22-30,0.07015347473
18-19,0.03726434836,25-4,0.7760463263,19-6,0.07013621263
19-23,0.03715552026,17-1,0.7760291817,6-5,0.07002247503
10-6,0.03708353077,21-20,0.7753609676,22-21,0.06977663547
4-13,0.03705661426,27-12,0.7752329057,19-4,0.06940857939
22-30,0.03703270358,24-7,0.7745367203,26-22,0.06938933096
19-6,0.03696749073,10-31,0.7735541477,19-10,0.06935163029
13-19,0.03687402624,5-27,0.7698068511,18-19,0.06923949685
30-8,0.0368472667,23-10,0.7685928392,7-17,0.06908145536
22-21,0.03680136601,26-13,0.76674619,17-23,0.06890896168
5-19,0.03678990427,24-18,0.7665300654,30-8,0.06885024827
19-4,0.0366306398,8-12,0.7657852009,27-0,0.06877094187
6-5,0.03653614622,15-17,0.7640287471,11-30,0.0687321004
19-2,0.03651233763,26-4,0.7607583095,4-25,0.0678469968
19-10,0.03649378832,31-27,0.7607549134,8-26,0.06773530308
11-30,0.03643836928,23-5,0.7599596558,17-22,0.06756940586
7-17,0.03637355574,1-2,0.7567438441,7-30,0.0674361792
27-0,0.03608518249,26-0,0.7554832209,13-19,0.0672404169
8-26,0.03592310315,3-0,0.7529898126,22-3,0.06701990209
17-22,0.03590203305,19-11,0.7527745222,10-5,0.06694028351
15-14,0.03582008588,0-14,0.7518274945,19-2,0.0669345009
7-30,0.03575256317,22-15,0.7492254595,6-22,0.06690935163
9-5,0.03563397362,11-30,0.748849482,9-5,0.06680310514
13-16,0.03555224154,24-0,0.7483366535,19-23,0.06633600805
22-3,0.035527318,9-12,0.7483048439,9-13,0.06596288792
21-13,0.0354586034,10-2,0.7459529645,15-14,0.06589113842
4-25,0.03534216516,25-3,0.7443053791,7-18,0.06546468127
9-13,0.03522434746,25-7,0.7406428108,23-14,0.06542334859
10-5,0.03510243979,30-4,0.740523592,7-20,0.06541459398
6-22,0.03498354755,27-17,0.7390840986,17-1,0.06536743144
28-1,0.03491144536,11-12,0.7335510561,28-1,0.06534421312
7-18,0.03468188521,19-4,0.7332716556,5-0,0.06528672891
23-14,0.03451957841,30-3,0.732786855,8-11,0.06525801481
7-20,0.03445835237,24-25,0.7320812142,14-5,0.06515000504
14-17,0.03436168893,21-21,0.7239585963,10-31,0.06508650722
17-1,0.03431280011,26-29,0.7221009172,21-8,0.06505229477
10-31,0.03424652336,14-19,0.7206804605,6-17,0.0650507427
8-11,0.03420955769,28-25,0.7205069768,14-17,0.0649637384
27-18,0.03414634103,24-19,0.7204526716,27-18,0.06490338353
5-0,0.03414357117,22-3,0.7135632709,21-13,0.06470869376
19-0,0.03412515139,20-6,0.7130450024,8-12,0.06463020747
8-12,0.03412508961,19-19,0.7112745067,7-31,0.06433351047
6-17,0.03401671311,28-11,0.7093686564,19-0,0.06428867634
7-31,0.03399113477,23-20,0.7080980224,19-19,0.06385707697
11-7,0.03387347044,21-28,0.7018525474,19-28,0.06385184722
19-19,0.03360980426,19-27,0.6985277104,4-14,0.0638136934
18-18,0.03360593238,19-18,0.6983238098,19-5,0.0636262143
19-27,0.03344881236,27-22,0.6972250648,19-27,0.06358210434
19-5,0.03338964932,7-21,0.6964850255,11-7,0.06347421084
19-28,0.03333771907,16-10,0.6954681419,17-17,0.06323018813
4-14,0.0332780642,25-14,0.6941804208,27-3,0.06258630789
17-17,0.03313472434,11-5,0.6873995439,18-18,0.06257500178
27-3,0.03281557339,10-3,0.6866130153,8-3,0.06230068068
7-29,0.03265245991,25-13,0.6851166037,6-31,0.06184013827
30-1,0.03256603117,19-12,0.6844046695,7-29,0.06180672062
8-3,0.03250596594,19-1,0.6842170345,5-3,0.06116772278
18-29,0.03223751101,15-18,0.6799176873,30-1,0.06089358785
6-31,0.03214076622,14-27,0.6738646421,6-29,0.06077492145
20-2,0.03189277154,20-15,0.6721100772,6-23,0.06045811129
15-16,0.03186260676,23-14,0.6684118704,14-15,0.06036544785
8-14,0.031788569,30-29,0.6673761715,17-16,0.06027040398
14-15,0.0317613821,6-12,0.6649095854,18-29,0.06013094853
5-3,0.03174367728,30-0,0.6648818525,9-23,0.06009963378
9-23,0.03169413623,26-28,0.6646407419,8-14,0.05985914076
17-16,0.03166029849,23-31,0.6645922044,20-2,0.05980099935
6-29,0.03158187052,14-11,0.6645207439,21-20,0.05974342245
6-23,0.03157610046,8-22,0.6633079417,11-4,0.05891478482
21-20,0.03140831891,6-30,0.6627373748,15-16,0.05890348354
22-31,0.03127115872,5-29,0.6626506024,13-16,0.05889193568
28-29,0.0312394973,21-6,0.6614192447,10-7,0.05885403911
11-4,0.03119379065,24-30,0.6614065316,7-14,0.05877513846
8-7,0.03093770107,17-8,0.6612283023,21-30,0.05836906886
21-30,0.03076344539,24-29,0.6611928407,28-29,0.05828988522
10-7,0.0306641319,24-31,0.6601487528,22-31,0.0578617079
27-11,0.03065835604,20-21,0.6601314426,6-11,0.05774134545
7-14,0.0305316191,7-20,0.6601304057,11-21,0.05756699563
10-3,0.0300482236,7-18,0.6598670879,27-11,0.05746352721
